5S_rRNA	0
7SK	0
A1BG	21
A1BG-AS1	725
A1CF	0
A2M	3
A2M-AS1	3
A2ML1	0
A2ML1-AS1	0
A2ML1-AS2	0
A2MP1	0
A3GALT2	0
A4GALT	166
A4GNT	0
AAAS	1125
AACS	1176
AACSP1	0
AADAC	0
AADACL2	0
AADACL2-AS1	0
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	143
AAGAB	1322
AAK1	9027
AAMDC	122
AAMP	1508
AANAT	0
AAR2	916
AARD	1
AARS	7797
AARS2	494
AARSD1	50
AARSP1	0
AASDH	305
AASDHPPT	1112
AASS	813
AATBC	0
AATF	881
AATK	11
AB019440.1	0
ABALON	0
ABAT	6
ABBA01006766.1	0
ABBA01045074.1	0
ABBA01045074.2	0
ABC7-43041300I9.1	0
ABCA1	1145
ABCA10	13
ABCA11P	13
ABCA12	4
ABCA13	23
ABCA17P	0
ABCA2	2529
ABCA3	906
ABCA4	1
ABCA5	530
ABCA6	33
ABCA7	83
ABCA8	1
ABCA9	2
ABCA9-AS1	0
ABCB1	45
ABCB10	877
ABCB10P1	0
ABCB10P3	0
ABCB10P4	0
ABCB11	4
ABCB4	14
ABCB5	0
ABCB6	115
ABCB7	480
ABCB8	1044
ABCB9	474
ABCC1	6240
ABCC10	1586
ABCC11	1
ABCC12	0
ABCC13	0
ABCC2	117
ABCC3	490
ABCC4	1161
ABCC5	1075
ABCC5-AS1	0
ABCC6	0
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	1062
ABCD1	782
ABCD1P2	0
ABCD1P3	0
ABCD1P4	0
ABCD1P5	0
ABCD2	0
ABCD3	1875
ABCD4	434
ABCE1	5293
ABCF1	1500
ABCF2	2708
ABCF2P1	1
ABCF2P2	0
ABCF3	1328
ABCG1	0
ABCG2	68
ABCG4	8
ABCG5	0
ABCG8	0
ABHD1	2
ABHD10	585
ABHD11	204
ABHD11-AS1	4
ABHD12	1234
ABHD12B	0
ABHD13	483
ABHD14A	50
ABHD14A-ACY1	0
ABHD14B	908
ABHD15	394
ABHD15-AS1	0
ABHD16A	16
ABHD16B	0
ABHD17A	1373
ABHD17AP1	0
ABHD17AP2	0
ABHD17AP3	4
ABHD17AP4	0
ABHD17AP5	0
ABHD17AP6	0
ABHD17AP7	0
ABHD17AP8	0
ABHD17AP9	0
ABHD17B	428
ABHD17C	129
ABHD18	223
ABHD2	4653
ABHD3	164
ABHD4	1286
